0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,"As,prov",∅8,,∅6/25,"∅6/16,5",∅8,,∅6/25,∅6/16,∅8,,∅6/25,∅6/16
,,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
,"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-9,3","58,0","-9,3","58,0","-9,5","60,4","-9,5","60,4","-9,5","60,4","-9,5","60,4"
,,130,"-9,8","58,0","-9,8","58,0","-10,0","60,4","-10,0","60,4","-10,0","60,4","-10,0","60,4"
,,135,"-10,3","58,0","-10,3","58,0","-10,5","60,4","-10,5","60,4","-10,5","60,4","-10,5","60,4"
,,140,"-10,8","58,0","-10,8","58,0","-10,9","60,4","-10,9","60,4","-10,9","60,4","-10,9","60,4"
,,145,"-11,3","58,0","-11,3","58,0","-11,4","60,4","-11,4","60,4","-11,4","60,4","-11,4","60,4"
,,150,"-11,8","58,0","-11,8","58,0","-11,9","60,4","-11,9","60,4","-11,9","60,4","-11,9","60,4"
,,155,"-12,3","58,0","-12,3","58,0","-12,4","60,4","-12,4","60,4","-12,4","60,4","-12,4","60,4"
,,160,"-12,8","58,0","-12,8","58,0","-12,9","60,4","-12,9","60,4","-12,9","60,4","-12,9","60,4"
,,165,"-13,3","58,0","-13,3","58,0","-13,4","60,4","-13,4","60,4","-13,4","60,4","-13,4","60,4"
,,170,"-13,8","58,0","-13,8","58,0","-13,9","60,4","-13,9","60,4","-13,9","60,4","-13,9","60,4"
,,175,"-14,3","58,0","-14,3","58,0","-14,4","60,4","-14,4","60,4","-14,4","60,4","-14,4","60,4"
,,180,"-14,7","58,0","-14,7","58,0","-14,9","60,4","-14,9","60,4","-14,9","60,4","-14,9","60,4"
,,185,"-15,2","58,0","-15,2","58,0","-15,4","60,4","-15,4","60,4","-15,4","60,4","-15,4","60,4"
,,190,"-15,7","58,0","-15,7","58,0","-15,9","60,4","-15,9","60,4","-15,9","60,4","-15,9","60,4"
,,195,"-16,2","58,0","-16,2","58,0","-16,4","60,4","-16,4","60,4","-16,4","60,4","-16,4","60,4"
,,200,"-16,7","58,0","-16,7","58,0","-16,8","60,4","-16,8","60,4","-16,8","60,4","-16,8","60,4"
,,205,"-17,2","58,0","-17,2","58,0","-17,3","60,4","-17,3","60,4","-17,3","60,4","-17,3","60,4"
,,210,"-17,7","58,0","-17,7","58,0","-17,8","60,4","-17,8","60,4","-17,8","60,4","-17,8","60,4"
,,215,"-18,2","58,0","-18,2","58,0","-18,3","60,4","-18,3","60,4","-18,3","60,4","-18,3","60,4"
,,220,"-18,7","58,0","-18,7","58,0","-18,8","60,4","-18,8","60,4","-18,8","60,4","-18,8","60,4"
,,225,"-19,2","58,0","-19,2","58,0","-19,3","60,4","-19,3","60,4","-19,3","60,4","-19,3","60,4"
,,230,"-19,7","58,0","-19,7","58,0","-19,8","60,4","-19,8","60,4","-19,8","60,4","-19,8","60,4"
,,235,"-20,2","58,0","-20,2","58,0","-20,3","60,4","-20,3","60,4","-20,3","60,4","-20,3","60,4"
,,240,"-20,6","58,0","-20,6","58,0","-20,8","60,4","-20,8","60,4","-20,8","60,4","-20,8","60,4"
,,245,"-21,1","58,0","-21,1","58,0","-21,3","60,4","-21,3","60,4","-21,3","60,4","-21,3","60,4"
,,250,"-21,6","58,0","-21,6","58,0","-21,8","60,4","-21,8","60,4","-21,8","60,4","-21,8","60,4"
,,255,"-22,1","58,0","-22,1","58,0","-22,3","60,4","-22,3","60,4","-22,3","60,4","-22,3","60,4"
,,260,"-22,6","58,0","-22,6","58,0","-22,7","60,4","-22,7","60,4","-22,7","60,4","-22,7","60,4"
,,265,"-23,1","58,0","-23,1","58,0","-23,2","60,4","-23,2","60,4","-23,2","60,4","-23,2","60,4"
,,270,"-23,6","58,0","-23,6","58,0","-23,7","60,4","-23,7","60,4","-23,7","60,4","-23,7","60,4"
,,275,"-24,1","58,0","-24,1","58,0","-24,2","60,4","-24,2","60,4","-24,2","60,4","-24,2","60,4"
,,280,"-24,6","58,0","-24,6","58,0","-24,7","60,4","-24,7","60,4","-24,7","60,4","-24,7","60,4"
,,285,"-25,1","58,0","-25,1","58,0","-25,2","60,4","-25,2","60,4","-25,2","60,4","-25,2","60,4"
,,290,"-25,6","58,0","-25,6","58,0","-25,7","60,4","-25,7","60,4","-25,7","60,4","-25,7","60,4"
,,295,"-26,1","58,0","-26,1","58,0","-26,2","60,4","-26,2","60,4","-26,2","60,4","-26,2","60,4"
,,300,"-26,5","58,0","-26,5","58,0","-26,7","60,4","-26,7","60,4","-26,7","60,4","-26,7","60,4"
