0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-13,3","64,0","-13,3","64,0","-13,6","64,0","-13,6","64,0","-13,6","64,0","-13,6","64,0"
,,130,"-14,1","64,0","-14,1","64,0","-14,4","64,0","-14,4","64,0","-14,4","64,0","-14,4","64,0"
,,135,"-14,8","64,0","-14,8","64,0","-15,1","64,0","-15,1","64,0","-15,1","64,0","-15,1","64,0"
,,140,"-15,6","64,0","-15,6","64,0","-15,8","64,0","-15,8","64,0","-15,8","64,0","-15,8","64,0"
,,145,"-16,3","64,0","-16,3","64,0","-16,6","64,0","-16,6","64,0","-16,6","64,0","-16,6","64,0"
,,150,"-17,0","64,0","-17,0","64,0","-17,3","64,0","-17,3","64,0","-17,3","64,0","-17,3","64,0"
,,155,"-17,8","64,0","-17,8","64,0","-18,1","64,0","-18,1","64,0","-18,1","64,0","-18,1","64,0"
,,160,"-18,5","64,0","-18,5","64,0","-18,8","64,0","-18,8","64,0","-18,8","64,0","-18,8","64,0"
,,165,"-19,2","64,0","-19,2","64,0","-19,5","64,0","-19,5","64,0","-19,5","64,0","-19,5","64,0"
,,170,"-20,0","64,0","-20,0","64,0","-20,3","64,0","-20,3","64,0","-20,3","64,0","-20,3","64,0"
,,175,"-20,7","64,0","-20,7","64,0","-21,0","64,0","-21,0","64,0","-21,0","64,0","-21,0","64,0"
,,180,"-21,5","64,0","-21,5","64,0","-21,7","64,0","-21,7","64,0","-21,7","64,0","-21,7","64,0"
,,185,"-22,2","64,0","-22,2","64,0","-22,5","64,0","-22,5","64,0","-22,5","64,0","-22,5","64,0"
,,190,"-22,9","64,0","-22,9","64,0","-23,2","64,0","-23,2","64,0","-23,2","64,0","-23,2","64,0"
,,195,"-23,7","64,0","-23,7","64,0","-24,0","64,0","-24,0","64,0","-24,0","64,0","-24,0","64,0"
,,200,"-24,4","64,0","-24,4","64,0","-24,7","64,0","-24,7","64,0","-24,7","64,0","-24,7","64,0"
,,205,"-25,1","64,0","-25,1","64,0","-25,4","64,0","-25,4","64,0","-25,4","64,0","-25,4","64,0"
,,210,"-25,9","64,0","-25,9","64,0","-26,2","64,0","-26,2","64,0","-26,2","64,0","-26,2","64,0"
,,215,"-26,6","64,0","-26,6","64,0","-26,9","64,0","-26,9","64,0","-26,9","64,0","-26,9","64,0"
,,220,"-27,4","64,0","-27,4","64,0","-27,6","64,0","-27,6","64,0","-27,6","64,0","-27,6","64,0"
,,225,"-28,1","64,0","-28,1","64,0","-28,4","64,0","-28,4","64,0","-28,4","64,0","-28,4","64,0"
,,230,"-28,8","64,0","-28,8","64,0","-29,1","64,0","-29,1","64,0","-29,1","64,0","-29,1","64,0"
,,235,"-29,6","64,0","-29,6","64,0","-29,9","64,0","-29,9","64,0","-29,9","64,0","-29,9","64,0"
,,240,"-30,3","64,0","-30,3","64,0","-30,6","64,0","-30,6","64,0","-30,6","64,0","-30,6","64,0"
,,245,"-31,0","64,0","-31,0","64,0","-31,3","64,0","-31,3","64,0","-31,3","64,0","-31,3","64,0"
,,250,"-31,8","64,0","-31,8","64,0","-32,1","64,0","-32,1","64,0","-32,1","64,0","-32,1","64,0"
,,255,"-32,5","64,0","-32,5","64,0","-32,8","64,0","-32,8","64,0","-32,8","64,0","-32,8","64,0"
,,260,"-33,3","64,0","-33,3","64,0","-33,6","64,0","-33,6","64,0","-33,6","64,0","-33,6","64,0"
,,265,"-34,0","64,0","-34,0","64,0","-34,3","64,0","-34,3","64,0","-34,3","64,0","-34,3","64,0"
,,270,"-34,7","64,0","-34,7","64,0","-35,0","64,0","-35,0","64,0","-35,0","64,0","-35,0","64,0"
,,275,"-35,5","64,0","-35,5","64,0","-35,8","64,0","-35,8","64,0","-35,8","64,0","-35,8","64,0"
,,280,"-36,2","64,0","-36,2","64,0","-36,5","64,0","-36,5","64,0","-36,5","64,0","-36,5","64,0"
,,285,"-36,9","64,0","-36,9","64,0","-37,2","64,0","-37,2","64,0","-37,2","64,0","-37,2","64,0"
,,290,"-37,7","64,0","-37,7","64,0","-38,0","64,0","-38,0","64,0","-38,0","64,0","-38,0","64,0"
,,295,"-38,4","64,0","-38,4","64,0","-38,7","64,0","-38,7","64,0","-38,7","64,0","-38,7","64,0"
,,300,"-39,2","64,0","-39,2","64,0","-39,5","64,0","-39,5","64,0","-39,5","64,0","-39,5","64,0"
