0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
,"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-15,7","48,0","-15,7","48,0","-16,4","48,0","-16,4","48,0","-16,4","48,0","-16,4","48,0"
,,130,"-16,7","48,0","-16,7","48,0","-17,4","48,0","-17,4","48,0","-17,4","48,0","-17,4","48,0"
,,135,"-17,7","48,0","-17,7","48,0","-18,4","48,0","-18,4","48,0","-18,4","48,0","-18,4","48,0"
,,140,"-18,7","48,0","-18,7","48,0","-19,4","48,0","-19,4","48,0","-19,4","48,0","-19,4","48,0"
,,145,"-19,6","48,0","-19,6","48,0","-20,3","48,0","-20,3","48,0","-20,3","48,0","-20,3","48,0"
,,150,"-20,6","48,0","-20,6","48,0","-21,3","48,0","-21,3","48,0","-21,3","48,0","-21,3","48,0"
,,155,"-21,6","48,0","-21,6","48,0","-22,3","48,0","-22,3","48,0","-22,3","48,0","-22,3","48,0"
,,160,"-22,6","48,0","-22,6","48,0","-23,3","48,0","-23,3","48,0","-23,3","48,0","-23,3","48,0"
,,165,"-23,6","48,0","-23,6","48,0","-24,3","48,0","-24,3","48,0","-24,3","48,0","-24,3","48,0"
,,170,"-24,6","48,0","-24,6","48,0","-25,3","48,0","-25,3","48,0","-25,3","48,0","-25,3","48,0"
,,175,"-25,5","48,0","-25,5","48,0","-26,2","48,0","-26,2","48,0","-26,2","48,0","-26,2","48,0"
,,180,"-26,5","48,0","-26,5","48,0","-27,2","48,0","-27,2","48,0","-27,2","48,0","-27,2","48,0"
,,185,"-27,5","48,0","-27,5","48,0","-28,2","48,0","-28,2","48,0","-28,2","48,0","-28,2","48,0"
,,190,"-28,5","48,0","-28,5","48,0","-29,2","48,0","-29,2","48,0","-29,2","48,0","-29,2","48,0"
,,195,"-29,5","48,0","-29,5","48,0","-30,2","48,0","-30,2","48,0","-30,2","48,0","-30,2","48,0"
,,200,"-30,5","48,0","-30,5","48,0","-31,2","48,0","-31,2","48,0","-31,2","48,0","-31,2","48,0"
,,205,"-31,5","48,0","-31,5","48,0","-32,1","48,0","-32,1","48,0","-32,1","48,0","-32,1","48,0"
,,210,"-32,4","48,0","-32,4","48,0","-33,1","48,0","-33,1","48,0","-33,1","48,0","-33,1","48,0"
,,215,"-33,4","48,0","-33,4","48,0","-34,1","48,0","-34,1","48,0","-34,1","48,0","-34,1","48,0"
,,220,"-34,4","48,0","-34,4","48,0","-35,1","48,0","-35,1","48,0","-35,1","48,0","-35,1","48,0"
,,225,"-35,4","48,0","-35,4","48,0","-36,1","48,0","-36,1","48,0","-36,1","48,0","-36,1","48,0"
,,230,"-36,4","48,0","-36,4","48,0","-37,1","48,0","-37,1","48,0","-37,1","48,0","-37,1","48,0"
,,235,"-37,4","48,0","-37,4","48,0","-38,0","48,0","-38,0","48,0","-38,0","48,0","-38,0","48,0"
,,240,"-38,3","48,0","-38,3","48,0","-39,0","48,0","-39,0","48,0","-39,0","48,0","-39,0","48,0"
,,245,"-39,3","48,0","-39,3","48,0","-40,0","48,0","-40,0","48,0","-40,0","48,0","-40,0","48,0"
,,250,"-40,3","48,0","-40,3","48,0","-41,0","48,0","-41,0","48,0","-41,0","48,0","-41,0","48,0"
,,255,"-41,3","48,0","-41,3","48,0","-42,0","48,0","-42,0","48,0","-42,0","48,0","-42,0","48,0"
,,260,"-42,3","48,0","-42,3","48,0","-43,0","48,0","-43,0","48,0","-43,0","48,0","-43,0","48,0"
,,265,"-43,3","48,0","-43,3","48,0","-43,9","48,0","-43,9","48,0","-43,9","48,0","-43,9","48,0"
,,270,"-44,2","48,0","-44,2","48,0","-44,9","48,0","-44,9","48,0","-44,9","48,0","-44,9","48,0"
,,275,"-45,2","48,0","-45,2","48,0","-45,9","48,0","-45,9","48,0","-45,9","48,0","-45,9","48,0"
,,280,"-46,2","48,0","-46,2","48,0","-46,9","48,0","-46,9","48,0","-46,9","48,0","-46,9","48,0"
,,285,"-47,2","48,0","-47,2","48,0","-47,9","48,0","-47,9","48,0","-47,9","48,0","-47,9","48,0"
,,290,"-48,2","48,0","-48,2","48,0","-48,9","48,0","-48,9","48,0","-48,9","48,0","-48,9","48,0"
,,295,"-49,2","48,0","-49,2","48,0","-49,8","48,0","-49,8","48,0","-49,8","48,0","-49,8","48,0"
,,300,"-50,1","48,0","-50,1","48,0","-50,8","48,0","-50,8","48,0","-50,8","48,0","-50,8","48,0"
